painting,paintingLabel,height,width,creationYear,countryLabel,materialLabel,authorLabel
http://www.wikidata.org/entity/Q761681,Зимняя жертва,640,1360,1915,Швеция,холст,Карл Улоф Ларссон
http://www.wikidata.org/entity/Q794077,Любовь земная и Любовь небесная,118,279,1514,Италия,масляные краски,Тициан
http://www.wikidata.org/entity/Q794077,Любовь земная и Любовь небесная,118,279,1514,Италия,холст,Тициан
http://www.wikidata.org/entity/Q860930,Портрет Гертруды Стайн,99.6,81.3,1905,США,масляные краски,Пабло Пикассо
http://www.wikidata.org/entity/Q734834,Гентский алтарь,3.4,5.2,1432,Бельгия,дубовая панель,Ян ван Эйк
http://www.wikidata.org/entity/Q713199,Freedom from Want,116.2,90,1943,США,масляные краски,Норман Роквелл
http://www.wikidata.org/entity/Q860930,Портрет Гертруды Стайн,99.6,81.3,1905,США,холст,Пабло Пикассо
http://www.wikidata.org/entity/Q713199,Freedom from Want,116.2,90,1943,США,холст,Норман Роквелл
http://www.wikidata.org/entity/Q860951,Portrait of the Painter Lovis Corinth,88,63,1899,Германия,масляные краски,Макс Либерман
http://www.wikidata.org/entity/Q732821,Портрет Луки Пачоли,98,108,1497,Италия,масляные краски,Якопо де Барбари
http://www.wikidata.org/entity/Q860951,Portrait of the Painter Lovis Corinth,88,63,1899,Германия,холст,Макс Либерман
http://www.wikidata.org/entity/Q732821,Портрет Луки Пачоли,98,108,1497,Италия,панель,Якопо де Барбари
http://www.wikidata.org/entity/Q829572,Камилла в зелёном платье,231,151,1866,Германия,масляные краски,Клод Моне
http://www.wikidata.org/entity/Q736446,Женщина в чёрном,65.5,55.5,1876,Россия,масляные краски,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q829572,Камилла в зелёном платье,231,151,1866,Германия,холст,Клод Моне
http://www.wikidata.org/entity/Q736446,Женщина в чёрном,65.5,55.5,1876,Россия,холст,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q734834,Гентский алтарь,3.4,5.2,1432,Бельгия,масляные краски,Ян ван Эйк
http://www.wikidata.org/entity/Q764831,Праздник святого Николая,82,70.5,1665,Нидерланды,масляные краски,Ян Стен
http://www.wikidata.org/entity/Q734834,Гентский алтарь,3.4,5.2,1432,Бельгия,дубовая панель,Хуберт ван Эйк
